region_name,country_name,reporting_year,reporting_level,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,reporting_gdp
Europe & Central Asia,Albania,2020,national,0.000212773636,1.1518103e-05,6.23511e-07,1.1841587e-05,13.952189784018,12.064706607362,0.142736285972,0.294196298171,4418.66087378292
Other High Income Countries,United Arab Emirates,2013,national,0.0,0.0,0.0,0.0,72.450950584942,65.143439461913,0.192562087875,0.325104208858,38034.9683968782
Other High Income Countries,United Arab Emirates,2018,national,0.0,0.0,0.0,0.0,78.775902792305,74.251837213617,0.1353254184,0.263990043944,43644.1470438183
Latin America & Caribbean,Argentina,1980,urban,0.0,0.0,0.0,0.0,32.472833567004,24.830487350174,0.287917587121,0.408308603303,10270.9561180014
Latin America & Caribbean,Argentina,1986,urban,0.011191321131,0.009824744059,0.008649883558,0.023833840891,35.170307381073,25.367317164763,0.346787041571,0.427977841774,9397.88360849477
Latin America & Caribbean,Argentina,1987,urban,0.011860859178,0.007984910277,0.00646296696,0.018177641865,32.147538841087,22.359614372325,0.380956025832,0.452675117034,9507.33981264281
Latin America & Caribbean,Argentina,1991,urban,0.009720286287,0.005882949151,0.004328441809,0.012251135383,22.812175828199,15.114628280244,0.388782534376,0.467544557541,8762.66138351332
Latin America & Caribbean,Argentina,1992,urban,0.016737125255,0.010179479698,0.007893479838,0.021958179403,23.006514598684,15.807516691566,0.380791914958,0.454551668805,9327.8594509636
Latin America & Caribbean,Argentina,1993,urban,0.019766661717,0.01060928252,0.007867679453,0.022300309081,23.05489812696,16.156161376507,0.377776731212,0.448434193232,9957.25652230492
Latin America & Caribbean,Argentina,1994,urban,0.019113265993,0.012563820475,0.010017256971,0.027986780864,22.777278124919,15.622387410666,0.396396424369,0.458984992718,10397.3792874496
Latin America & Caribbean,Argentina,1995,urban,0.038554343889,0.020245123591,0.014646522841,0.041653969391,21.637654086435,14.441226038607,0.461653472551,0.488787408388,9969.33157579723
Latin America & Caribbean,Argentina,1996,urban,0.042175671839,0.025194956691,0.019523964878,0.054552398478,21.197699100931,13.854637260784,0.486170223164,0.494914048035,10388.5387104408
Latin America & Caribbean,Argentina,1997,urban,0.037657508073,0.02027641081,0.015028077576,0.04214194609,22.210445023843,14.835679516083,0.470252747271,0.490858614701,11097.3820634618
Latin America & Caribbean,Argentina,1998,urban,0.039691887942,0.019467196435,0.013285318908,0.037885227531,21.566738610765,13.572866920092,0.493836289074,0.507132225206,11391.9451576314
Latin America & Caribbean,Argentina,1999,urban,0.04187958437,0.022013949146,0.015805411803,0.044717085118,20.55825287502,13.479604343421,0.481367659666,0.497662957838,10880.2062074837
Latin America & Caribbean,Argentina,2000,urban,0.049882613603,0.025471289854,0.017672998164,0.049764116227,20.108347091978,12.820308261509,0.511491489024,0.510386125623,10672.7220353121
Latin America & Caribbean,Argentina,2001,urban,0.082347868249,0.042534498241,0.029814211781,0.083821912692,18.519590828519,11.441447860802,0.583794498613,0.532943099597,10090.6534434286
Latin America & Caribbean,Argentina,2002,urban,0.124471545388,0.047350123406,0.026465446579,0.077504918658,13.007759577823,7.848625418884,0.557621665882,0.537604421252,8895.31964210751
Latin America & Caribbean,Argentina,2003,urban,0.053636474127,0.019359304926,0.010617869236,0.031699769296,18.388802943235,11.572902663729,0.493860088755,0.509947160233,9581.96979219468
Latin America & Caribbean,Argentina,2004,urban,0.038789884305,0.012646907235,0.006676349008,0.020109050466,19.821718180831,13.415482749043,0.441262612168,0.48483650559,10341.6434058805
